dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,30,true,6,2.88343,0.0894871,true,false,23.1253,0.933402
abalone_size_4177,4177,30,true,7,2.8692,0.0500647,true,false,22.8795,0.529095
abalone_size_4177,4177,30,true,8,2.86914,0.0956822,true,false,22.911,0.976779
abalone_size_4177,4177,30,true,9,2.87503,0.0810364,true,false,22.8668,1.02934
abalone_size_4177,4177,30,true,10,2.86726,0.120051,true,false,22.787,1.24547
abalone_size_4177,4177,30,true,0.1,14.67,1.20638,false,true,132.216,9.39113
abalone_size_4177,4177,30,true,0.2,7.6062,1.13063,false,true,68.068,11.8205
abalone_size_4177,4177,30,true,0.3,5.55005,0.759322,false,true,47.8979,6.9168
abalone_size_4177,4177,30,true,0.4,3.98733,0.109884,false,true,32.3625,1.11872
abalone_size_4177,4177,30,true,0.5,3.72169,0.306828,false,true,30.4302,3.41359
abalone_size_4177,4177,30,true,0.6,3.49868,0.273561,false,true,29.0017,2.56482
abalone_size_4177,4177,30,true,0.7,3.16754,0.212028,false,true,25.9846,3.2344
abalone_size_4177,4177,30,true,0.8,3.04181,0.194794,false,true,23.9706,1.98632
abalone_size_4177,4177,30,true,0.9,3.17378,0.220322,false,true,26.5733,2.46308
abalone_size_4177,4177,30,true,1,3.07146,0.17622,false,true,24.9721,2.53444
abalone_size_4177,4177,30,true,1.5,2.81959,0.108869,false,true,21.9277,0.5349
abalone_size_4177,4177,30,true,2,2.76123,0.133343,false,true,21.2453,2.12816
abalone_size_4177,4177,30,true,2.5,2.74518,0.100608,false,true,20.7463,1.51698
abalone_size_4177,4177,30,true,3,2.69781,0.184096,false,true,19.702,0.885546
abalone_size_4177,4177,30,true,4,2.65652,0.146392,false,true,20.016,0.590807
abalone_size_4177,4177,30,true,5,2.62957,0.125563,false,true,19.4958,0.835147
abalone_size_4177,4177,30,true,6,2.64296,0.0312812,false,true,19.5759,0.826786
abalone_size_4177,4177,30,true,7,2.63086,0.105724,false,true,19.4946,0.605481
abalone_size_4177,4177,30,true,8,2.61199,0.0578703,false,true,19.4285,0.506193
abalone_size_4177,4177,30,true,9,2.62081,0.121727,false,true,19.4994,0.748986
abalone_size_4177,4177,30,true,10,2.61983,0.11228,false,true,19.1656,0.757844
