dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,30,false,0,2.16773,0.0889571,true,true,15.1297,0.38861
abalone_size_4177,4177,30,true,0.1,8.92948,0.67613,true,true,79.7813,6.71692
abalone_size_4177,4177,30,true,0.2,5.37771,0.532646,true,true,46.1027,2.79362
abalone_size_4177,4177,30,true,0.3,4.45872,0.417556,true,true,35.9402,3.47234
abalone_size_4177,4177,30,true,0.4,3.84131,0.109139,true,true,33.3017,2.1838
abalone_size_4177,4177,30,true,0.5,3.53114,0.25039,true,true,29.7329,3.73615
abalone_size_4177,4177,30,true,0.6,3.29018,0.345461,true,true,26.686,3.77884
abalone_size_4177,4177,30,true,0.7,3.34941,0.195651,true,true,28.1399,1.34942
abalone_size_4177,4177,30,true,0.8,3.24287,0.207413,true,true,27.4466,3.48009
abalone_size_4177,4177,30,true,0.9,3.41883,0.160495,true,true,29.0551,1.26627
abalone_size_4177,4177,30,true,1,3.11431,0.158967,true,true,25.6838,1.62333
abalone_size_4177,4177,30,true,1.5,3.16787,0.184392,true,true,25.1879,1.62472
abalone_size_4177,4177,30,true,2,3.02318,0.0977266,true,true,24.085,1.12182
abalone_size_4177,4177,30,true,2.5,3.0863,0.113251,true,true,24.5868,1.72641
abalone_size_4177,4177,30,true,3,3.08121,0.136799,true,true,24.3226,0.964585
abalone_size_4177,4177,30,true,4,3.04149,0.144633,true,true,24.3759,1.49261
abalone_size_4177,4177,30,true,5,3.04655,0.0636363,true,true,23.9986,1.0794
abalone_size_4177,4177,30,true,6,3.04673,0.188848,true,true,24.0754,1.02117
abalone_size_4177,4177,30,true,7,3.06673,0.116989,true,true,24.1419,0.941409
abalone_size_4177,4177,30,true,8,3.07347,0.169271,true,true,24.245,1.03511
abalone_size_4177,4177,30,true,9,3.05284,0.0799396,true,true,24.0418,0.498348
abalone_size_4177,4177,30,true,10,3.05402,0.145557,true,true,24.0274,0.597307
abalone_size_4177,4177,30,true,0.1,8.74217,0.929512,true,false,74.8417,8.38838
abalone_size_4177,4177,30,true,0.2,5.22966,0.691607,true,false,44.8756,6.66198
abalone_size_4177,4177,30,true,0.3,4.34638,0.235464,true,false,37.4381,3.68483
abalone_size_4177,4177,30,true,0.4,3.65594,0.127228,true,false,32.2025,1.78795
abalone_size_4177,4177,30,true,0.5,3.39373,0.293984,true,false,28.7811,2.8681
abalone_size_4177,4177,30,true,0.6,3.12936,0.17978,true,false,25.8692,1.99304
abalone_size_4177,4177,30,true,0.7,3.10248,0.0879333,true,false,24.6749,1.48769
abalone_size_4177,4177,30,true,0.8,3.05468,0.106337,true,false,24.9827,0.800387
abalone_size_4177,4177,30,true,0.9,3.06146,0.0695735,true,false,24.8472,0.925246
abalone_size_4177,4177,30,true,1,3.07673,0.0851999,true,false,25.2791,1.6721
abalone_size_4177,4177,30,true,1.5,2.95177,0.0732519,true,false,23.6612,1.06127
abalone_size_4177,4177,30,true,2,2.90417,0.058527,true,false,23.2671,0.756854
abalone_size_4177,4177,30,true,2.5,2.91241,0.181272,true,false,23.5247,1.17836
abalone_size_4177,4177,30,true,3,2.85806,0.15679,true,false,22.958,1.18418
abalone_size_4177,4177,30,true,4,2.88533,0.0506114,true,false,23.0892,1.54133
abalone_size_4177,4177,30,true,5,2.87889,0.0775982,true,false,22.986,0.493396
