dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std
yearMSD_size_10000,10000,50,false,0,59.2287,49.7164
yearMSD_size_10000,10000,50,true,0.1,13.4432,0.372582
yearMSD_size_10000,10000,50,true,0.2,10.9785,0.210818
yearMSD_size_10000,10000,50,true,0.3,10.5876,0.21947
yearMSD_size_10000,10000,50,true,0.4,10.4769,0.339925
yearMSD_size_10000,10000,50,true,0.5,10.3116,0.175968
yearMSD_size_10000,10000,50,true,0.6,10.2716,0.22317
yearMSD_size_10000,10000,50,true,0.7,10.2308,0.194189
yearMSD_size_10000,10000,50,true,0.8,10.2204,0.226192
yearMSD_size_10000,10000,50,true,0.9,10.2172,0.208759
yearMSD_size_10000,10000,50,true,1,10.213,0.33857
yearMSD_size_10000,10000,50,true,1.5,10.1826,0.182308
yearMSD_size_10000,10000,50,true,2,10.1742,0.286855
yearMSD_size_10000,10000,50,true,2.5,10.1623,0.307815
yearMSD_size_10000,10000,50,true,3,10.1709,0.345188
yearMSD_size_10000,10000,50,true,4,10.1563,0.345055
