dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,20,true,0.1,10.8953,1.46786,false,true,97.2477,11.5126
abalone_size_4177,4177,20,true,0.2,6.08084,0.48899,false,true,52.2696,4.30658
abalone_size_4177,4177,20,true,0.3,4.50543,0.3693,false,true,38.3492,2.35216
abalone_size_4177,4177,20,true,0.4,3.96376,0.359648,false,true,34.6706,6.40535
abalone_size_4177,4177,20,true,0.5,3.4215,0.221501,false,true,27.6777,1.55387
abalone_size_4177,4177,20,true,0.6,3.37069,0.225265,false,true,26.5413,1.93277
abalone_size_4177,4177,20,true,0.7,3.3483,0.271355,false,true,25.8942,1.18661
abalone_size_4177,4177,20,true,0.8,3.05122,0.21542,false,true,23.3994,2.23989
abalone_size_4177,4177,20,true,0.9,3.03996,0.205157,false,true,24.5768,2.85
abalone_size_4177,4177,20,true,1,2.95667,0.239803,false,true,23.047,1.6172
abalone_size_4177,4177,20,true,1.5,2.85216,0.159154,false,true,22.8432,1.13981
abalone_size_4177,4177,20,true,2,2.87629,0.0762689,false,true,22.4895,0.698356
abalone_size_4177,4177,20,true,2.5,2.80672,0.0774665,false,true,21.8389,1.10053
abalone_size_4177,4177,20,true,3,2.76319,0.137303,false,true,20.8573,0.93152
abalone_size_4177,4177,20,true,4,2.78122,0.098964,false,true,21.2838,1.14977
abalone_size_4177,4177,20,true,5,2.74189,0.106691,false,true,21.1183,0.82626
abalone_size_4177,4177,20,true,6,2.76337,0.120296,false,true,21.2283,1.05071
abalone_size_4177,4177,20,true,7,2.76121,0.0797272,false,true,21.284,0.658106
abalone_size_4177,4177,20,true,8,2.73595,0.0980111,false,true,21.0532,0.447352
abalone_size_4177,4177,20,true,9,2.74645,0.0951809,false,true,21.0385,0.65406
abalone_size_4177,4177,20,true,10,2.74062,0.101015,false,true,20.9882,0.722992
