dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,20,true,10,2.73452,0.154448,false,true,91.6946,1.98052
abalone_size_4177,4177,20,true,0.1,11.2118,1.25152,false,true,1313.3,339.35
abalone_size_4177,4177,20,true,0.2,6.54464,0.352709,false,true,405.328,39.3202
abalone_size_4177,4177,20,true,0.3,4.47884,0.382261,false,true,191.521,30.3507
abalone_size_4177,4177,20,true,0.4,4.06618,0.172964,false,true,154.577,31.9623
abalone_size_4177,4177,20,true,0.5,3.57185,0.124703,false,true,123.144,4.52304
abalone_size_4177,4177,20,true,0.6,3.35598,0.175155,false,true,110.919,11.6006
abalone_size_4177,4177,20,true,0.7,3.12221,0.198825,false,true,94.6254,6.71312
abalone_size_4177,4177,20,true,0.8,3.01628,0.149831,false,true,92.8651,9.09013
abalone_size_4177,4177,20,true,0.9,3.02878,0.17654,false,true,96.8773,8.64902
abalone_size_4177,4177,20,true,1,2.97835,0.148426,false,true,97.0219,7.93815
abalone_size_4177,4177,20,true,1.5,2.8698,0.0919423,false,true,96.3441,9.58856
abalone_size_4177,4177,20,true,2,2.86126,0.0843617,false,true,98.1325,6.3145
abalone_size_4177,4177,20,true,2.5,2.8141,0.124399,false,true,93.1896,4.13001
abalone_size_4177,4177,20,true,3,2.79799,0.118059,false,true,92.5175,1.72104
abalone_size_4177,4177,20,true,4,2.78688,0.100636,false,true,93.1963,4.51749
abalone_size_4177,4177,20,true,5,2.75238,0.166324,false,true,92.0377,3.17406
abalone_size_4177,4177,20,true,6,2.75252,0.103026,false,true,91.8893,4.28282
abalone_size_4177,4177,20,true,7,2.75281,0.125145,false,true,91.9942,5.47064
abalone_size_4177,4177,20,true,8,2.73639,0.0812125,false,true,91.134,2.51822
abalone_size_4177,4177,20,true,9,2.73615,0.05507,false,true,91.7003,3.90669
abalone_size_4177,4177,20,true,10,2.7319,0.127587,false,true,91.9981,0.761175
