dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf,mean_mape,std_mape
abalone_size_4177,4177,20,true,10,2.74276,0.178749,false,true,30.9753,3.01115
abalone_size_4177,4177,20,true,0.1,10.7243,1.17916,false,true,-1201.59,327.104
abalone_size_4177,4177,20,true,0.2,6.29695,0.435858,false,true,-328.034,40.196
abalone_size_4177,4177,20,true,0.3,4.39316,0.341809,false,true,-94.1559,30.4303
abalone_size_4177,4177,20,true,0.4,3.9418,0.411584,false,true,-64.4676,40.0159
abalone_size_4177,4177,20,true,0.5,3.69126,0.30553,false,true,-45.5465,42.0977
abalone_size_4177,4177,20,true,0.6,3.13154,0.12663,false,true,10.3191,10.5131
abalone_size_4177,4177,20,true,0.7,3.2034,0.19688,false,true,3.56736,14.1726
abalone_size_4177,4177,20,true,0.8,3.19294,0.184773,false,true,8.24073,8.99925
abalone_size_4177,4177,20,true,0.9,2.94202,0.169336,false,true,15.2113,11.9288
abalone_size_4177,4177,20,true,1,3.04221,0.0860739,false,true,20.9691,7.01035
abalone_size_4177,4177,20,true,1.5,2.95076,0.160365,false,true,16.4255,9.86667
abalone_size_4177,4177,20,true,2,2.82379,0.111941,false,true,23.9726,7.24891
abalone_size_4177,4177,20,true,2.5,2.82404,0.128922,false,true,25.7713,11.3173
abalone_size_4177,4177,20,true,3,2.78359,0.0726059,false,true,29.8971,4.9026
abalone_size_4177,4177,20,true,4,2.76442,0.0524862,false,true,31.1595,3.31747
abalone_size_4177,4177,20,true,5,2.7543,0.104602,false,true,30.5379,7.16094
abalone_size_4177,4177,20,true,6,2.75598,0.0623236,false,true,30.0377,5.29769
abalone_size_4177,4177,20,true,7,2.75019,0.0682297,false,true,31.13,3.30723
abalone_size_4177,4177,20,true,8,2.73357,0.165294,false,true,31.966,8.75288
abalone_size_4177,4177,20,true,9,2.72803,0.0708369,false,true,32.4104,1.79597
abalone_size_4177,4177,20,true,10,2.73645,0.124031,false,true,31.8174,4.10914
