dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
yearMSD_size_10000,10000,20,true,0.1,15.8755,0.154148,false,true
yearMSD_size_10000,10000,20,true,0.2,12.3871,0.381681,false,true
yearMSD_size_10000,10000,20,true,0.3,11.4541,0.172785,false,true
yearMSD_size_10000,10000,20,true,0.4,11.186,0.324134,false,true
yearMSD_size_10000,10000,20,true,0.5,10.9772,0.284142,false,true
yearMSD_size_10000,10000,20,true,0.6,11.2245,0.350262,false,true
yearMSD_size_10000,10000,20,true,0.7,10.9215,0.26815,false,true
yearMSD_size_10000,10000,20,true,0.8,10.891,0.202886,false,true
yearMSD_size_10000,10000,20,true,0.9,10.7381,0.150872,false,true
yearMSD_size_10000,10000,20,true,1,10.9441,0.0865346,false,true
yearMSD_size_10000,10000,20,true,1.5,10.7327,0.263124,false,true
yearMSD_size_10000,10000,20,true,2,10.8505,0.161734,false,true
yearMSD_size_10000,10000,20,true,2.5,10.7384,0.144312,false,true
yearMSD_size_10000,10000,20,true,3,10.7481,0.16943,false,true
yearMSD_size_10000,10000,20,true,4,10.7312,0.187132,false,true
yearMSD_size_10000,10000,20,true,5,10.7437,0.235131,false,true
yearMSD_size_10000,10000,20,true,6,10.6987,0.226539,false,true
yearMSD_size_10000,10000,20,true,7,10.8564,0.146291,false,true
yearMSD_size_10000,10000,20,true,8,10.8619,0.102795,false,true
yearMSD_size_10000,10000,20,true,9,10.7674,0.377167,false,true
yearMSD_size_10000,10000,20,true,10,10.8318,0.126249,false,true
yearMSD_size_10000,10000,20,false,0,9.69225,0.207123,false,true
