dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
yearMSD_size_10000,10000,20,true,0.1,13.6735,0.480421,true,true
yearMSD_size_10000,10000,20,true,0.2,11.4845,0.204329,true,true
yearMSD_size_10000,10000,20,true,0.3,11.5503,0.224505,true,true
yearMSD_size_10000,10000,20,true,0.4,11.2144,0.157602,true,true
yearMSD_size_10000,10000,20,true,0.5,10.915,0.195327,true,true
yearMSD_size_10000,10000,20,true,0.6,10.87,0.273575,true,true
yearMSD_size_10000,10000,20,true,0.7,11.0593,0.25786,true,true
yearMSD_size_10000,10000,20,true,0.8,10.7747,0.177831,true,true
yearMSD_size_10000,10000,20,true,0.9,10.5974,0.279617,true,true
yearMSD_size_10000,10000,20,true,1,10.9048,0.328298,true,true
yearMSD_size_10000,10000,20,true,1.5,10.858,0.330642,true,true
yearMSD_size_10000,10000,20,true,2,10.831,0.129318,true,true
yearMSD_size_10000,10000,20,true,2.5,10.8178,0.264078,true,true
yearMSD_size_10000,10000,20,true,3,10.9184,0.147184,true,true
yearMSD_size_10000,10000,20,true,4,10.6329,0.298492,true,true
yearMSD_size_10000,10000,20,true,5,10.9315,0.221274,true,true
yearMSD_size_10000,10000,20,true,6,10.7264,0.413,true,true
yearMSD_size_10000,10000,20,true,7,10.9469,0.308319,true,true
yearMSD_size_10000,10000,20,true,8,10.4947,0.19302,true,true
yearMSD_size_10000,10000,20,true,9,10.8105,0.371131,true,true
yearMSD_size_10000,10000,20,true,10,10.6485,0.230904,true,true
