dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,min_y,max_y,model,config,balance_partition,label
synthetic_C,50000,-1,20,20,15,-1,0.500000,3,1.773708,0.008953,45.200000,32778.102000,DPGBDT,Vanilla,-1,cost
synthetic_C,75000,-1,20,20,15,-1,0.500000,3,1.797162,0.013427,45.200000,32778.102000,DPGBDT,Vanilla,-1,cost
synthetic_C,100000,-1,20,20,15,-1,0.500000,3,1.772591,0.002307,45.200000,32778.102000,DPGBDT,Vanilla,-1,cost
synthetic_D,300,-1,20,20,15,-1,0.500000,3,30.463402,10.932695,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,5000,-1,20,20,15,-1,0.500000,3,2.179214,0.106966,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,15000,-1,20,20,15,-1,0.500000,3,1.904611,0.008951,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,25000,-1,20,20,15,-1,0.500000,3,2.038314,0.114120,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,50000,-1,20,20,15,-1,0.500000,3,2.037279,0.039143,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,75000,-1,20,20,15,-1,0.500000,3,2.252695,0.215583,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,100000,-1,20,20,15,-1,0.500000,3,1.948374,0.017974,0.001000,1.000000,DPGBDT,Vanilla,-1,loss
synthetic_D,300,-1,20,20,15,-1,0.500000,3,23.616993,10.149256,48.921000,27335.052000,DPGBDT,Vanilla,-1,cost
synthetic_D,5000,-1,20,20,15,-1,0.500000,3,1.912253,0.049391,46.636000,27335.052000,DPGBDT,Vanilla,-1,cost
synthetic_D,15000,-1,20,20,15,-1,0.500000,3,1.883502,0.067603,46.145000,28083.191000,DPGBDT,Vanilla,-1,cost
synthetic_D,25000,-1,20,20,15,-1,0.500000,3,1.890707,0.063843,45.781000,28083.191000,DPGBDT,Vanilla,-1,cost
synthetic_D,50000,-1,20,20,15,-1,0.500000,3,1.804183,0.023718,45.674000,28083.191000,DPGBDT,Vanilla,-1,cost
synthetic_D,75000,-1,20,20,15,-1,0.500000,3,1.875520,0.069096,45.674000,28235.409000,DPGBDT,Vanilla,-1,cost
synthetic_D,100000,-1,20,20,15,-1,0.500000,3,1.775166,0.004012,45.483000,28235.409000,DPGBDT,Vanilla,-1,cost
