dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.184238,0.023965,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,9.662109,0.723187,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,3.261765,0.109039,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.140617,0.102707,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,3.050832,0.046616,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,3.004286,0.044442,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.982180,0.071957,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.972807,0.017456,DPGBDT,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.964916,0.061131,DPGBDT,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.974531,0.030967,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.143686,0.034205,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.138801,0.033179,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.135095,0.026704,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.142953,0.015982,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.136995,0.025284,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.134384,0.035284,DPRef,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.134796,0.022319,DPRef,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.137682,0.051432,DPRef,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.146144,0.041496,DPRef,DFS,True
