dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.171201,0.044731,DPGBDT,Vanilla,True
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.169028,0.051814,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.957737,0.028158,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.961948,0.063389,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.958611,0.038392,DPGBDT,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.956401,0.053781,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.958476,0.059099,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.955322,0.062272,DPGBDT,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.957668,0.035949,DPGBDT,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.959458,0.049441,DPGBDT,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.952444,0.035170,DPGBDT,DFS,True
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.129764,0.037114,DPRef,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.142079,0.067018,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.140814,0.014526,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.142182,0.061610,DPRef,DFS,True
abalone,4177,1.500000,50,50,6,-1,0.100000,5,2.135733,0.060502,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.144199,0.028653,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.142498,0.018612,DPRef,DFS,True
abalone,4177,5.000000,50,50,6,-1,0.100000,5,2.139166,0.031885,DPRef,DFS,True
abalone,4177,7.000000,50,50,6,-1,0.100000,5,2.136817,0.034788,DPRef,DFS,True
abalone,4177,9.000000,50,50,6,-1,0.100000,5,2.126872,0.042411,DPRef,DFS,True
