dataset,nb_samples,nb_trees,use_dp,privacy_budget,mean,std,glc,gdf
abalone_size_4177,4177,50,false,0,2.18318,0.0845912,true,true
abalone_size_4177,4177,50,true,0.1,9.81207,1.00302,true,true
abalone_size_4177,4177,50,true,0.2,5.38614,0.306384,true,true
abalone_size_4177,4177,50,true,0.3,3.99335,0.379563,true,true
abalone_size_4177,4177,50,true,0.4,4.47978,1.43541,true,true
abalone_size_4177,4177,50,true,0.5,3.56872,0.375363,true,true
abalone_size_4177,4177,50,true,0.6,3.35739,0.172926,true,true
abalone_size_4177,4177,50,true,0.7,3.40903,0.182629,true,true
abalone_size_4177,4177,50,true,0.8,3.37566,0.125603,true,true
abalone_size_4177,4177,50,true,0.9,3.15902,0.136044,true,true
abalone_size_4177,4177,50,true,1,3.22627,0.0794021,true,true
abalone_size_4177,4177,50,true,1.5,3.22807,0.148757,true,true
abalone_size_4177,4177,50,true,2,3.1216,0.200522,true,true
abalone_size_4177,4177,50,true,2.5,3.14711,0.11385,true,true
abalone_size_4177,4177,50,true,3,3.09833,0.0597089,true,true
abalone_size_4177,4177,50,true,4,3.11642,0.147758,true,true
abalone_size_4177,4177,50,true,5,3.11721,0.0814098,true,true
abalone_size_4177,4177,50,true,6,3.1076,0.0395669,true,true
abalone_size_4177,4177,50,true,7,3.10818,0.0755295,true,true
abalone_size_4177,4177,50,true,8,3.10698,0.0722782,true,true
abalone_size_4177,4177,50,true,9,3.12788,0.153867,true,true
abalone_size_4177,4177,50,true,10,3.1255,0.116378,true,true
abalone_size_4177,4177,50,true,0.1,18.4931,1.06248,false,true
abalone_size_4177,4177,50,true,0.2,8.50698,0.630874,false,true
abalone_size_4177,4177,50,true,0.3,6.80436,0.55004,false,true
abalone_size_4177,4177,50,true,0.4,5.22937,0.315037,false,true
abalone_size_4177,4177,50,true,0.5,4.21237,0.394317,false,true
abalone_size_4177,4177,50,true,0.6,3.75743,0.020975,false,true
abalone_size_4177,4177,50,true,0.7,3.43992,0.226053,false,true
abalone_size_4177,4177,50,true,0.8,3.32592,0.273845,false,true
abalone_size_4177,4177,50,true,0.9,3.16497,0.105529,false,true
abalone_size_4177,4177,50,true,1,3.03434,0.103562,false,true
abalone_size_4177,4177,50,true,1.5,2.81732,0.0887562,false,true
abalone_size_4177,4177,50,true,2,2.6803,0.113025,false,true
abalone_size_4177,4177,50,true,2.5,2.66386,0.0920721,false,true
abalone_size_4177,4177,50,true,3,2.5778,0.0924182,false,true
abalone_size_4177,4177,50,true,4,2.58345,0.121745,false,true
abalone_size_4177,4177,50,true,5,2.57794,0.0759209,false,true
abalone_size_4177,4177,50,true,6,2.55815,0.0847487,false,true
abalone_size_4177,4177,50,true,7,2.55678,0.0988501,false,true
abalone_size_4177,4177,50,true,8,2.55526,0.076926,false,true
abalone_size_4177,4177,50,true,9,2.54401,0.0667773,false,true
abalone_size_4177,4177,50,true,10,2.53969,0.0553236,false,true
abalone_size_4177,4177,50,true,0.1,10.7415,1.88779,true,false
abalone_size_4177,4177,50,true,0.2,5.75726,0.449414,true,false
abalone_size_4177,4177,50,true,0.3,4.29278,0.234782,true,false
abalone_size_4177,4177,50,true,0.4,3.55382,0.0958881,true,false
abalone_size_4177,4177,50,true,0.5,3.30741,0.242872,true,false
abalone_size_4177,4177,50,true,0.6,3.25305,0.223209,true,false
abalone_size_4177,4177,50,true,0.7,3.16231,0.128605,true,false
abalone_size_4177,4177,50,true,0.8,2.98246,0.176401,true,false
abalone_size_4177,4177,50,true,0.9,2.97082,0.090804,true,false
abalone_size_4177,4177,50,true,1,3.03455,0.187467,true,false
abalone_size_4177,4177,50,true,1.5,2.95565,0.102374,true,false
abalone_size_4177,4177,50,true,2,2.96653,0.155425,true,false
abalone_size_4177,4177,50,true,2.5,2.92103,0.0289213,true,false
abalone_size_4177,4177,50,true,3,2.9168,0.233773,true,false
abalone_size_4177,4177,50,true,4,2.90843,0.108659,true,false
abalone_size_4177,4177,50,true,5,2.89767,0.067685,true,false
abalone_size_4177,4177,50,true,6,2.89948,0.189337,true,false
abalone_size_4177,4177,50,true,7,2.89831,0.155078,true,false
abalone_size_4177,4177,50,true,8,2.90224,0.128345,true,false
abalone_size_4177,4177,50,true,9,2.912,0.00805944,true,false
abalone_size_4177,4177,50,true,10,2.8977,0.0948869,true,false
