dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.189325,0.034058,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,112.774894,4.399401,DPGBDT,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,65.264723,4.182115,DPGBDT,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,40.316003,1.890156,DPGBDT,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,35.940774,3.177412,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,30.660019,1.800178,DPGBDT,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,21.355191,1.177862,DPGBDT,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,17.998883,1.135558,DPGBDT,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,17.787724,0.712882,DPGBDT,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,16.298190,1.041278,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,117.952717,7.805006,DPGBDT,3-trees,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,59.566610,2.334378,DPGBDT,3-trees,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,44.597808,5.234845,DPGBDT,3-trees,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,36.493543,1.529766,DPGBDT,3-trees,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,25.382187,3.476826,DPGBDT,3-trees,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,22.102857,1.393984,DPGBDT,3-trees,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,18.775464,0.371775,DPGBDT,3-trees,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,16.915422,0.254894,DPGBDT,3-trees,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,16.349538,0.907096,DPGBDT,3-trees,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.131820,0.056286,DPRef,DFS,True
abalone,4177,0.200000,50,50,6,-1,0.100000,5,2.139609,0.054028,DPRef,DFS,True
abalone,4177,0.300000,50,50,6,-1,0.100000,5,2.128178,0.023733,DPRef,DFS,True
abalone,4177,0.400000,50,50,6,-1,0.100000,5,2.126996,0.049102,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.131440,0.024709,DPRef,DFS,True
abalone,4177,0.600000,50,50,6,-1,0.100000,5,2.130505,0.054644,DPRef,DFS,True
abalone,4177,0.700000,50,50,6,-1,0.100000,5,2.137065,0.050933,DPRef,DFS,True
abalone,4177,0.800000,50,50,6,-1,0.100000,5,2.150914,0.038029,DPRef,DFS,True
abalone,4177,0.900000,50,50,6,-1,0.100000,5,2.127858,0.056470,DPRef,DFS,True
