dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.199023,0.034682,DPGBDT,Vanilla,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,12.349566,0.805369,DPGBDT,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,6.282057,0.385410,DPGBDT,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,3.903416,0.236370,DPGBDT,DFS,True
abalone,4177,6.000000,50,50,6,-1,0.100000,5,3.065104,0.075112,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.827756,0.100439,DPGBDT,DFS,True
abalone,4177,10.000000,50,50,6,-1,0.100000,5,2.607406,0.049716,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,12.908592,0.815172,DPGBDT,3-trees,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,6.346965,0.218123,DPGBDT,3-trees,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,4.298906,0.348743,DPGBDT,3-trees,True
abalone,4177,6.000000,50,50,6,-1,0.100000,5,2.923292,0.122942,DPGBDT,3-trees,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.680905,0.029014,DPGBDT,3-trees,True
abalone,4177,10.000000,50,50,6,-1,0.100000,5,2.630826,0.063399,DPGBDT,3-trees,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.149298,0.031565,DPRef,DFS,True
abalone,4177,2.000000,50,50,6,-1,0.100000,5,2.133683,0.049380,DPRef,DFS,True
abalone,4177,4.000000,50,50,6,-1,0.100000,5,2.139908,0.021157,DPRef,DFS,True
abalone,4177,6.000000,50,50,6,-1,0.100000,5,2.138243,0.027193,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.136564,0.032481,DPRef,DFS,True
abalone,4177,10.000000,50,50,6,-1,0.100000,5,2.146738,0.076853,DPRef,DFS,True
