dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.100000,50,50,6,-1,0.100000,5,9.910347,0.901558,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,3.346151,0.086302,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.140519,0.081962,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,3.131853,0.075820,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,3.101402,0.059462,DPGBDT,DFS,True
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.167375,0.055767,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.134072,0.057493,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.122417,0.046870,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.142274,0.041510,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.138637,0.046960,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.116445,0.051753,DPRef,DFS,True
