dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.100000,10,10,6,-1,0.100000,5,8.518970,0.484630,DPGBDT,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,3.525668,0.092493,DPGBDT,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,3.182855,0.142786,DPGBDT,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,3.168589,0.082702,DPGBDT,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,3.128284,0.100949,DPGBDT,DFS,True
abalone,4177,0.000000,10,10,6,-1,0.100000,5,2.335934,0.014286,DPGBDT,Vanilla,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,2.321330,0.064777,DPRef,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,2.319648,0.049617,DPRef,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,2.328430,0.058076,DPRef,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,2.334067,0.049259,DPRef,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,2.326284,0.056574,DPRef,DFS,True
