dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.178427,0.036682,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,9.950823,0.875594,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,3.566199,0.102061,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.303587,0.074656,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,3.103210,0.077692,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,3.149518,0.096911,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.153273,0.025847,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.138974,0.061338,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.147812,0.031595,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.133307,0.046738,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.145577,0.034736,DPRef,DFS,True
