dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.182208,0.043722,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,9.636162,0.645682,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,3.592473,0.200584,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.008162,0.086735,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.938671,0.071022,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.908561,0.041000,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.141313,0.048014,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.130898,0.031742,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.130563,0.027215,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.149801,0.026464,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.148076,0.058924,DPRef,DFS,True
