dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,50,50,6,-1,0.100000,5,2.170982,0.025634,DPGBDT,Vanilla,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,7.543731,0.192126,DPGBDT,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,3.684192,0.225309,DPGBDT,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,3.338016,0.057952,DPGBDT,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,3.114943,0.068787,DPGBDT,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,3.136376,0.019712,DPGBDT,DFS,True
abalone,4177,0.100000,50,50,6,-1,0.100000,5,2.137552,0.037947,DPRef,DFS,True
abalone,4177,0.500000,50,50,6,-1,0.100000,5,2.123965,0.036065,DPRef,DFS,True
abalone,4177,1.000000,50,50,6,-1,0.100000,5,2.144204,0.029897,DPRef,DFS,True
abalone,4177,3.000000,50,50,6,-1,0.100000,5,2.156563,0.017222,DPRef,DFS,True
abalone,4177,8.000000,50,50,6,-1,0.100000,5,2.143361,0.028468,DPRef,DFS,True
