dataset,nb_samples,privacy_budget,nb_tree,nb_tree_per_ensemble,max_depth,max_leaves,learning_rate,nb_of_runs,mean,std,model,config,balance_partition
abalone,4177,0.000000,10,10,6,-1,0.100000,5,2.337524,0.018984,DPGBDT,Vanilla,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,7.431911,0.346238,DPGBDT,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,3.285555,0.095586,DPGBDT,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,3.145452,0.065133,DPGBDT,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,3.137972,0.075763,DPGBDT,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,3.131610,0.064435,DPGBDT,DFS,True
abalone,4177,0.100000,10,10,6,-1,0.100000,5,2.328262,0.081414,DPRef,DFS,True
abalone,4177,0.500000,10,10,6,-1,0.100000,5,2.314538,0.085417,DPRef,DFS,True
abalone,4177,1.000000,10,10,6,-1,0.100000,5,2.320284,0.036340,DPRef,DFS,True
abalone,4177,3.000000,10,10,6,-1,0.100000,5,2.329616,0.060807,DPRef,DFS,True
abalone,4177,8.000000,10,10,6,-1,0.100000,5,2.338659,0.043676,DPRef,DFS,True
